ID,Loan_Type,Gender,Age,Degree,Income,Credit_score,Loan_length,Signers,Citizenship,Default
1,Car ,Female,30,HS      ,114885,641,0,2,Citizen    ,0
2,Home,Female,43,HS      ,95770,534,7,2,Citizen    ,0
3,Home,Male  ,39,HS      ,94220,558,5,2,Citizen    ,0
4,Home,Male  ,39,College ,58946,622,7,2,Citizen    ,0
5,Car ,Female,42,HS      ,79754,702,2,1,Citizen    ,0
6,Car ,Female,57,Gradaute,119627,624,3,2,Non-citizen,0
7,Car ,Male  ,41,HS      ,78765,594,3,2,Citizen    ,0
8,Car ,Female,53,HS      ,123167,652,2,2,Non-citizen,0
9,Car ,Female,44,HS      ,116175,694,3,2,Citizen    ,0
10,Car ,Female,57,College ,111085,586,3,2,Citizen    ,0
11,Car ,Male  ,50,HS      ,54387,593,2,2,Citizen    ,0
12,Car ,Male  ,39,HS      ,89468,600,0,2,Citizen    ,0
13,Car ,Male  ,52,HS      ,118613,622,0,2,Citizen    ,0
14,Car ,Male  ,37,HS      ,84429,615,0,2,Citizen    ,0
15,Car ,Female,46,College ,113281,577,3,2,Citizen    ,0
16,Home,Female,45,College ,93253,580,10,1,Citizen    ,0
17,Car ,Male  ,45,College ,89304,665,3,1,Citizen    ,0
18,Car ,Male  ,45,College ,126260,638,1,2,Citizen    ,0
19,Car ,Male  ,42,HS      ,77616,655,3,2,Citizen    ,0
20,Car ,Female,34,HS      ,88568,630,0,2,Citizen    ,0
21,Car ,Male  ,47,HS      ,118155,730,3,1,Citizen    ,0
22,Car ,Female,50,College ,132630,625,3,2,Citizen    ,0
23,Home,Male  ,46,HS      ,99880,551,8,2,Citizen    ,0
24,Home,Female,53,Gradaute,118848,701,8,1,Citizen    ,1
25,Home,Female,36,College ,109327,682,8,1,Citizen    ,1
26,Car ,Female,41,HS      ,90653,641,0,2,Citizen    ,0
27,Car ,Female,44,Gradaute,122276,709,3,1,Non-citizen,0
28,Car ,Male  ,36,College ,97064,564,2,2,Citizen    ,0
29,Car ,Female,41,College ,107481,632,1,2,Citizen    ,0
30,Car ,Female,45,College ,113738,625,2,1,Citizen    ,0
31,Car ,Male  ,46,HS      ,90207,663,3,2,Citizen    ,0
32,Car ,Female,55,Gradaute,120783,585,3,1,Citizen    ,0
33,Home,Male  ,41,HS      ,104234,586,7,2,Citizen    ,0
34,Car ,Female,46,College ,106650,697,3,2,Citizen    ,1
35,Home,Male  ,56,College ,109333,586,11,2,Citizen    ,0
36,Car ,Male  ,41,HS      ,114009,780,3,2,Citizen    ,0
37,Car ,Female,33,College ,73802,551,1,2,Citizen    ,0
38,Car ,Male  ,44,HS      ,93651,639,1,2,Citizen    ,0
39,Home,Male  ,36,HS      ,90710,667,5,2,Citizen    ,1
40,Home,Female,43,HS      ,75956,592,6,2,Citizen    ,0
41,Home,Male  ,41,HS      ,80480,689,5,2,Citizen    ,0
42,Home,Male  ,50,HS      ,113200,573,6,2,Citizen    ,0
43,Car ,Female,51,HS      ,94323,632,0,2,Citizen    ,0
44,Car ,Female,39,College ,122986,629,3,1,Citizen    ,0
45,Car ,Female,50,HS      ,118155,705,0,2,Citizen    ,0
46,Car ,Male  ,41,HS      ,92730,614,1,2,Citizen    ,0
47,Car ,Male  ,39,HS      ,106330,650,3,2,Citizen    ,0
48,Car ,Male  ,47,HS      ,92742,668,1,1,Citizen    ,0
49,Car ,Female,40,HS      ,90204,714,0,1,Citizen    ,0
50,Car ,Male  ,57,College ,105074,678,2,2,Citizen    ,0
51,Car ,Female,44,HS      ,67887,546,0,2,Citizen    ,0
52,Car ,Female,52,College ,117994,753,0,2,Citizen    ,0
53,Car ,Female,47,HS      ,115866,669,2,2,Citizen    ,0
54,Car ,Male  ,39,HS      ,86162,457,1,2,Citizen    ,0
55,Car ,Male  ,45,HS      ,97152,534,0,2,Citizen    ,0
56,Home,Female,50,HS      ,127891,596,8,1,Citizen    ,0
57,Home,Female,40,HS      ,86997,571,6,2,Citizen    ,0
58,Car ,Female,44,HS      ,94050,620,0,2,Citizen    ,0
59,Car ,Male  ,47,College ,84924,644,2,2,Citizen    ,0
60,Car ,Male  ,48,HS      ,92904,605,3,2,Citizen    ,0
61,Car ,Male  ,40,HS      ,94239,563,3,2,Citizen    ,0
62,Car ,Male  ,46,HS      ,117596,602,0,2,Citizen    ,0
63,Home,Male  ,49,HS      ,98343,686,10,2,Citizen    ,0
64,Car ,Female,36,HS      ,70946,637,0,2,Citizen    ,0
65,Home,Male  ,34,College ,120250,590,6,2,Citizen    ,0
66,Car ,Female,37,College ,94604,535,1,2,Citizen    ,0
67,Home,Male  ,40,HS      ,86004,524,7,2,Citizen    ,0
68,Car ,Male  ,37,HS      ,111413,592,0,2,Citizen    ,0
69,Home,Male  ,48,HS      ,98027,655,5,2,Citizen    ,0
70,Home,Male  ,36,HS      ,64901,483,6,2,Citizen    ,0
71,Car ,Female,42,HS      ,96461,591,0,2,Citizen    ,0
72,Car ,Male  ,48,HS      ,112781,680,2,2,Citizen    ,1
73,Car ,Female,42,HS      ,105276,690,2,1,Citizen    ,0
74,Home,Male  ,36,HS      ,89483,663,12,2,Citizen    ,0
75,Car ,Female,41,College ,107629,650,1,2,Citizen    ,0
76,Car ,Male  ,50,HS      ,88480,582,0,2,Citizen    ,0
77,Car ,Female,48,HS      ,63332,597,1,2,Citizen    ,0
